Feb 26 12:48:30.245 [notice] Tor 0.3.1.7 (git-6babd3d9ba9318b3) running on Windows 7 with Libevent 2.0.22-stable, OpenSSL 1.0.2k, Zlib 1.2.8, Liblzma N/A, and Libzstd N/A.
Feb 26 12:48:30.246 [notice] Tor can't help you if you use it wrong! Learn how to be safe at https://www.torproject.org/download/download#warning
Feb 26 12:48:30.262 [notice] Configuration file "C:\Users\massivedesign\AppData\Roaming\tor\torrc" not present, using reasonable defaults.
Feb 26 12:48:30.266 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 26 12:48:30.266 [warn] Path for GeoIPFile (Tor/geoip) is relative and will resolve to C:\Users\massivedesign\CloudStation\PyArchArtBot\ipchanger\Tor\geoip. Is this what you wanted?
Feb 26 12:48:30.266 [warn] Path for GeoIPv6File (Tor/geoip6) is relative and will resolve to C:\Users\massivedesign\CloudStation\PyArchArtBot\ipchanger\Tor\geoip6. Is this what you wanted?
Feb 26 12:48:30.266 [warn] Path for DataDirectory (Data/tordata0) is relative and will resolve to C:\Users\massivedesign\CloudStation\PyArchArtBot\ipchanger\Data\tordata0. Is this what you wanted?
Feb 26 12:48:30.266 [notice] Wow!  I detected that you have 32 CPUs. I will not autodetect any more than 16, though.  If you want to configure more, set NumCPUs in your torrc
Feb 26 12:48:30.267 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 26 12:48:30.267 [notice] Opening Socks listener on 0.0.0.0:9050
Feb 26 12:48:30.268 [notice] Opening DNS listener on 127.0.0.1:53
Feb 26 12:48:30.268 [notice] Opening Control listener on 127.0.0.1:15000
Feb 26 12:48:30.000 [notice] Parsing GEOIP IPv4 file Tor/geoip.
Feb 26 12:48:30.000 [notice] Parsing GEOIP IPv6 file Tor/geoip6.
Feb 26 12:48:31.000 [notice] Bootstrapped 0%: Starting
Feb 26 12:48:32.000 [notice] Starting with guard context "default"
Feb 26 12:48:32.000 [notice] Bootstrapped 80%: Connecting to the Tor network
Feb 26 12:48:59.000 [notice] Bootstrapped 85%: Finishing handshake with first hop
Feb 26 12:48:59.000 [notice] Bootstrapped 90%: Establishing a Tor circuit
Feb 26 12:49:01.000 [notice] Tor has successfully opened a circuit. Looks like client functionality is working.
Feb 26 12:49:01.000 [notice] Bootstrapped 100%: Done
Feb 26 12:49:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:49:12.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:49:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:49:32.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:49:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:49:52.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:12.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:32.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:43.000 [warn] Socks version 67 not recognized. (Tor is not an http proxy.)
Feb 26 12:50:44.000 [warn] Socks version 67 not recognized. (Tor is not an http proxy.)
Feb 26 12:50:45.000 [warn] Socks version 67 not recognized. (Tor is not an http proxy.)
Feb 26 12:50:48.000 [warn] Socks version 67 not recognized. (Tor is not an http proxy.)
Feb 26 12:50:52.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:50:58.000 [warn] Socks version 67 not recognized. (Tor is not an http proxy.)
Feb 26 12:51:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:51:12.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:51:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:51:32.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:51:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:51:52.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:52:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:52:12.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:52:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:52:32.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:52:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 12:52:52.000 [notice] New control connection opened from 127.0.0.1.
